mjd	boresight_ra	boresight_decl	rotation	band	exptime	seeing	sky	depth
61190.26715817445	252.6198156068491	1.003816736619061	148.55735764990135	y	30.0	1.1739611844821043	17.97779641894782	21.65215116171163
61190.26760344072	249.78850650190623	1.151324030767196	151.6919376172188	y	30.0	1.1903622825586544	17.93803614458746	21.612982249744967
61190.26805834917	254.06400986055735	3.6950689018868395	145.1812371296437	y	30.0	1.191397254180349	17.972449118529667	21.62829849158665
61190.26850854629	252.7523144795889	6.565173538789534	145.1879708446874	y	30.0	1.2260403999355425	17.964849315647186	21.58289179336107
61190.268954271465	251.25194733483434	3.8522914713592624	148.3491506505155	y	30.0	1.0458919863315634	17.93215253088325	21.745050418058934
61190.26939887091	248.43081533539734	3.984778191595259	151.29895088823793	y	30.0	1.0623635401469929	17.89134840368273	21.702534179699164
61190.26984887598	247.1003322970182	6.82129152044528	151.00689533012408	y	30.0	1.0967172789098474	17.8854248449614	21.652683195738742
61190.27029455987	245.60309771789383	4.090002277732099	154.03740801785838	y	30.0	1.082291299029306	17.865888733333417	21.662880996074577
61190.27073940791	242.7722212209475	4.166437945424106	156.5728454565449	y	30.0	1.1039538648193687	17.821468725715608	21.611984481667662
61190.27118500461	244.26351553225606	6.911099266142388	153.6399170366991	y	30.0	1.120583440246325	17.814452043451507	21.586215105325838
61190.27162974435	241.42558077640518	6.974443506138393	156.09286421790114	y	30.0	1.1454066638587226	17.768134746018774	21.530721532482048
61190.27208061924	245.7702202088066	9.654188885639464	150.83048091803374	y	30.0	1.1411161113321937	17.84359882998159	21.572928004248194
61190.2725249788	242.91015712785156	9.731352835016066	153.38439936869267	y	30.0	1.1723506788084688	17.798522995780736	21.51217641464679
61190.27296968857	240.05127071582243	9.784784602976224	155.77501663655372	y	30.0	1.2015144860453495	17.752201035147802	21.45190637739695
61190.273414689254	237.1980990806923	9.814285024451898	158.00636728279198	y	30.0	1.234746518705495	17.704252584392016	21.386096384084116
